	Phylum	Class	Order	Family	Genus	Species	3SppN.1.1	3SppN.1.2	3SppN.2.1	3SppN.2.2	3sppN.3.1	3sppN.3.2	3sppN.4.1	3sppN.4.2	6Spp.1.1	6Spp.1.2	6spp.2.1	6spp.2.2	6spp.3.1	6spp.3.2	6Spp.4.1	6Spp.4.2	Canola.1.1	Canola.1.2	Canola.2.1	Canola.2.2	Canola.3.1	Canola.3.2	Canola.4.1	Canola.4.2	Clover.1.1	Clover.1.2	Clover.2.1	Clover.2.2	Clover.3.1	Clover.3.2	Clover.4.1	Clover.4.2	Fallow.1.1	Fallow.1.2	Fallow.2.1	Fallow.2.2	Fallow.3.1	Fallow.3.2	Fallow.4.1	Fallow.4.2	Oat.1.1	Oat.1.2	Oat.2.1	Oat.2.2	Oat.3.1	Oat.3.2	Oat.4.1	Oat.4.2	Pea.1.1	Pea.1.2	Pea.2.1	Pea.2.2	Pea.3.1	Pea.3.2	Pea.4.1	Pea.4.2	Radish.1.1	Radish.1.2	Radish.2.1	Radish.2.2	Radish.3.1	Radish.3.2	Radish.4.1	Radish.4.2	Rye.1.1	Rye.1.2	Rye.2.1	Rye.2.2	Rye.3.1	Rye.3.2	Rye.4.1	Rye.4.2
OTU_10856	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	sp	0.00056294	0.000409351	0.00566609	0.000319183	0.000171424	0.000279975	0.000471156	0.00126668	0.00592741	0.000610708	0.001881205	0.00127532	0.000161518	0.000100961	0.000395284	0.000825008	0.001856369	0.000686618	0.000503845	0.000493994	0.000131945	0.000132886	0.000489426	0.000297686	0.004692821	0.000783447	0.003066956	0.001428704	0.000168875	0.000275561	0.000686235	0.000568464	0.004046025	0.000558845	0.003840067	0.001217146	0.000288924	0.000121894	0.000259276	0.000383507	0.000555185	0.003747036	0.011907209	0.010104733	0.000851996	0.000128988	0.000120996	0.000145753	0.000803238	0.000635104	0.004164084	0.002672985	0.000294193	0.000200631	0.000270368	0.000338946	0.000665169	0.000253067	0.000563584	0.002793786	0.0002535	0.000170977	0.000305759	0.000413579	0.000332723	0.000593689	0.000120027	0.002449309	0.000306712	0.000109422	0.00018055	0.000167694
OTU_11087	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	crenulatus	0.000217912	0.000160816	0.000216263	0.000360815	0.000321419	0.00021698	0.0000589	0.00032759	0.000458568	0.000203569	0.000156767	0.0000994	0.000201898	0.00022849	0.000162764	0.00086368	0.000215857	0.12472772	0.000284782	0.000327746	0.000263891	0.000398659	0.000257593	0.000130982	0.000241345	0.000237832	0.000206761	0.000489463	0.000544151	0.000314927	0.0000664	0.000509249	0.000120977	0.000286974	0.000349097	0.027050154	0.000339911	0.000203157	0.00020742	0.000883228	0.000165234	0.000316206	0.000244053	0.000463629	0.000191264	0.0000889	0.000120996	0.000206484	0.000417066	0.000134719	0.00041323	0.000362815	0.0000919	0.000310066	0.000165225	0.000585453	0.000916455	0.000168711	0.000289017	0.00020478	0.000819001	0.000530929	0.000472537	0.00020239	0.000396099	0.000182673	0.00011639	0.000310039	0.000235933	0.000218844	0.000609357	0.000922316
OTU_111	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	ochroleuca	0.006174185	0.004941448	0.004887543	0.003066931	0.008356904	0.004619584	0.009629259	0.013147262	0.006335026	0.008074913	0.007803519	0.00541597	0.009852615	0.001211529	0.005882763	0.009216887	0.012001641	0.003220002	0.014721023	0.002275221	0.006098812	0.002849676	0.029829216	0.003381717	0.010056046	0.007582647	0.008253213	0.007156747	0.007561827	0.00769884	0.016912383	0.009427035	0.005645617	0.007159256	0.009472165	0.0012319	0.007478033	0.00444914	0.005963338	0.004276683	0.004785163	0.008363636	0.017456199	0.003174075	0.008572124	0.001797236	0.002991904	0.005830125	0.026784887	0.015184758	0.010696292	0.012320906	0.011473541	0.028124829	0.004355924	0.003959511	0.012874712	0.003687547	0.004797688	0.007459848	0.014371514	0.003437539	0.012008005	0.006881259	0.005664219	0.005160524	0.000618321	0.005813232	0.008257638	0.003509924	0.01090072	0.001718861
OTU_112	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	glycines	0.000399506	0.000394731	0.000317186	0.001262854	0.005871261	0.00032897	0.007774081	0.000349429	0.000832215	0.000407138	0.000383209	0.000331252	0.002241066	0.000201921	0.000279024	0.00033516	0.000410128	0.001467942	0.002343972	0.000522493	0.001187509	0.0000443	0.017567811	0.000285779	0.000522914	0.000321773	0.000223991	0.000304261	0.000300221	0.001479032	0.007991322	0.000260546	0.000309165	0.000286974	0.008192143	0.000752418	0.000339911	0.000182841	0.000233348	0.000313778	0.000244546	0.000221344	0.00333967	0.00034475	0.000765058	0.000123255	0.000197994	0.000157899	0.041845593	0.000481139	0.000651631	0.000518307	0.000478064	0.000300947	0.003409637	0.007025436	0.003118903	0.003024752	0.000404624	0.00030717	0.000604501	0.00171877	0.000945074	0.000237588	0.000221816	0.000365347	0.000127301	0.009456191	0.000377492	0.008467586	0.001647521	0.000199136
OTU_113	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Tetracladium	sp.	0.00918864	0.004166606	0.001427336	0.005453864	0.002035656	0.001231889	0.005123826	0.011421957	0.008899608	0.003392821	0.007019683	0.012223198	0.009549768	0.001859803	0.011137722	0.005066065	0.002806139	0.000781324	0.001927753	0.000541493	0.001392758	0.000324834	0.00517761	0.0019171	0.009077257	0.005833881	0.001671319	0.004259654	0.003339963	0.002794977	0.00170452	0.001160615	0.004543377	0.002537458	0.001792031	0.000870444	0.001546593	0.001320521	0.004848453	0.005915303	0.00592197	0.00743083	0.005382007	0.001474102	0.005703158	0.000364033	0.028885076	0.004008211	0.014242022	0.004234026	0.012237957	0.006545481	0.008623543	0.00292739	0.016116919	0.00733357	0.003724945	0.003169362	0.004349711	0.007181933	0.008131508	0.007145043	0.015176785	0.029276148	0.001473489	0.000959035	0.000403727	0.003828982	0.003326649	0.000993216	0.003475592	0.000455917
OTU_1166	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriopsis	sp.	0.000417665	0.000175436	0.000720877	0.000346938	0.001199966	0.000321971	0.0016196	0.000851733	0.000271744	0.000610708	0.002612785	0.000480315	0.000464365	0.000175353	0.017346013	0.000760554	0.001403069	0.0000947	0.000284782	0.000123498	0.001832576	0.000206712	0.000953092	0.000381039	0.000214529	0.000335763	0.000310142	0.000489463	0.002514354	0.000466767	0.000730509	0.000544778	0.000685539	0.000151039	0.000721467	0.0000959	0.001359642	0.000325051	0.000881537	0.000290536	0.0007072	0.000600791	0.001027591	0.000261534	0.001008485	0.000200648	0.001363956	0.001093148	0.000633322	0.000384911	0.000158935	0.000266558	0.002427095	0.000255349	0.00525715	0.000169473	0.001241648	0.000433829	0.000375723	0.000131644	0.000351	0.000728902	0.001084056	0.000703965	0.000166362	0.000319678	0.00011639	0.00063558	0.000306712	0.00020201	0.001918346	0.000209617
OTU_119	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Lectera	colletotrichoides	0.000635578	0.00043859	0.000735294	0.00033306	0.001092826	0.000573948	0.00129568	0.00063334	0.001545543	0.000203569	0.002769552	0.002235951	0.000646073	0.000271	0.001092845	0.000631647	0.000582813	0.000378824	0.002146816	0.000365745	0.000850315	0.0000886	0.001262203	0.000226242	0.001997801	0.00111921	0.001430098	0.000634979	0.001782565	0.000770446	0.000420596	0.000189488	0.00103503	0.002748913	0.00430553	0.000169663	0.000679821	0.000345367	0.000985247	0.000348643	0.001282212	0.001770751	0.010815393	0.000760827	0.001634442	0.0000803	0.000384988	0.000437259	0.000447959	0.000250192	0.002066149	0.000836696	0.000974516	0.000465099	0.003649964	0.001217126	0.001566842	0.001108674	0.001531792	0.002910804	0.001345501	0.000485935	0.001501001	0.000483976	0.000110908	0.000730694	0.000145487	0.000806102	0.001344815	0.000277764	0.006748065	0.00024106
OTU_120	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Ceramothyrium	sp.	0.000799012	0.000380111	0.000389273	0.000721631	0.000685695	0.000797928	0.000912866	0.001768984	0.001307767	0.002171405	0.001114788	0.000844693	0.001171007	0.000180667	0.000511545	0.000773445	0.001036113	0.000662942	0.000788626	0.000688741	0.00073303	0.000561076	0.001159166	0.000440576	0.000925156	0.001021279	0.001412867	0.000952469	0.001407288	0.000629854	0.000597689	0.000296075	0.001424846	0.001495288	0.002117855	0.000258183	0.000713812	0.00071105	0.00106303	0.000383507	0.000290811	0.000996047	0.000963366	0.000725163	0.000799833	0.000229312	0.000384988	0.002465657	0.001760944	0.00100077	0.000349656	0.000799674	0.001801934	0.001641527	0.00103641	0.000893586	0.001478153	0.001277385	0.008265896	0.003569026	0.001638002	0.000584922	0.001528797	0.000712765	0.000507007	0.001689729	0.000109116	0.002480313	0.000802171	0.001144723	0.001557246	0.000628852
OTU_121	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	sorokiniana	0.000817171	0.00131577	0.000302768	0.010879973	0.001521385	0.001091902	0.00356312	0.02834742	0.004908371	0.001085703	0.005399756	0.000778442	0.000989299	0.000425098	0.001929918	0.004498872	0.0000432	0.000662942	0.000219063	0.0000855	0.000630406	0.000191947	0.000309111	0.000392946	0.0000939	0.000727486	0.000241221	0.000476235	0.000168875	0.000264314	0.001350334	0.000153959	0.000376374	0.000196351	0.001210203	0.000140156	0.000322915	0.000121894	0.00010371	0.000232428	0.000118968	0.001391304	0.000590865	0.000368526	0.000799833	0.000103191	0.000109996	0.000971687	0.00024715	0.000230947	0.000349656	0.000429455	0.000625161	0.000273588	0.000315429	0.000431386	0.000177378	0.000108457	0.000187861	0.000146272	0.000234	0.000233969	0.000138982	0.000184791	0.000427787	0.008265973	0.000316435	0.005301668	0.004978176	0.00701143	0.015978695	0.003338155
OTU_123	Ascomycota	Sordariomycetes	Lulworthiales	Lulworthiaceae	Zalerion	sp.	0.001016925	0.001037997	0.001816609	0.000791018	0.001778521	0.000783929	0.001177891	0.00190002	0.001188879	0.008007057	0.001724438	0.001142819	0.001332526	0.000929901	0.001464878	0.000489849	0.001359898	0.000236765	0.002519223	0.000636492	0.002052485	0.000221477	0.004172999	0.000619188	0.001059237	0.001440983	0.000930425	0.001097985	0.001219649	0.000421777	0.000398459	0.001172458	0.004247654	0.001314041	0.005981195	0.000390962	0.001563589	0.001442415	0.000881537	0.001057549	0.000383342	0.001992095	0.000822073	0.000404189	0.000991098	0.000493022	0.001836941	0.00317013	0.001220303	0.001674365	0.000683418	0.001184703	0.003916449	0.001267624	0.002493391	0.00083196	0.001019926	0.000638693	0.001936416	0.000716731	0.001287001	0.001214837	0.004169446	0.001680717	0.000578305	0.00054802	0.000200045	0.000604576	0.000495458	0.001666582	0.004852287	0.000461158
OTU_124	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	glutinans	0.001271156	0.000190056	0.000475779	0.000457958	0.000128568	0.000084	0.002326335	0.001070126	0.003532669	0.000203569	0.000383209	0.000347815	0.000181708	0.000106274	0.000418537	0.001057042	0.000345371	0.0000474	0.013406646	0.000142498	0.001348776	0.000265773	0.000257593	0.000309594	0.000858116	0.000349753	0.000206761	0.000238117	0.0000751	0.000134969	0.000708372	0.002273858	0.000873726	0.002039029	0.000861106	0.000140156	0.000186951	0.00042663	0.000181493	0.000337021	0.000145406	0.001328063	0.001220264	0.00022587	0.000121714	0.0000688	0.000417987	0.002647848	0.000386172	0.000269438	0.000222508	0.000273962	0.000147097	0.000155033	0.012151526	0.00064708	0.000221723	0.000530235	0.000187861	0.000351052	0.001014001	0.000161978	0.000500334	0.000369582	0.035062703	0.000365347	0.000109116	0.002898865	0.000353899	0.000412437	0.000789907	0.000503081
OTU_125	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	sp.	0.002142805	0.003216327	0.000519031	0.000902039	0.004328448	0.001679849	0.001914073	0.00220577	0.00251363	0.003189252	0.000574813	0.001407821	0.002463154	0.000425098	0.003859837	0.004705124	0.002460768	0.000710295	0.002365879	0.000550993	0.002594927	0.000664432	0.004276036	0.001524154	0.001903945	0.001622854	0.001688549	0.000780496	0.001576162	0.001006642	0.002767078	0.002498875	0.001747453	0.002945263	0.001466207	0.000560625	0.002906236	0.001970623	0.001866784	0.001952399	0.000812949	0.002719368	0.001438627	0.000475517	0.001043261	0.000315305	0.000659979	0.00438474	0.004819426	0.006331794	0.001192009	0.00128096	0.002427095	0.002206942	0.001171593	0.003004298	0.001877254	0.00060254	0.00117052	0.001769886	0.003841504	0.001124849	0.004058261	0.001108745	0.004159042	0.002329086	0.000207319	0.00269734	0.004978176	0.001346733	0.002166603	0.00061313
OTU_12572	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	sp.	0.001252996	0.002324527	0.000360438	0.000568978	0.000471415	0.000300973	0.000706735	0.001354037	0.001885222	0.0026464	0.000679324	0.000496878	0.000827781	0.000122216	0.001302114	0.000438286	0.001295141	0.000213088	0.000679095	0.000142498	0.000322533	0.0000886	0.001442518	0.000214334	0.001126277	0.001021279	0.000310142	0.000396862	0.000337749	0.000208077	0.000376323	0.001113243	0.000672097	0.001344248	0.001024018	0.000206546	0.000917759	0.000467261	0.000518551	0.0003254	0.001936537	0.000869565	0.001053281	0.000309086	0.000382529	0.0000344	0.000175994	0.000704473	0.001838179	0.003233256	0.002113829	0.000592351	0.000514838	0.00068397	0.001081471	0.000431386	0.001034707	0.000578439	0.001228324	0.000936138	0.0004875	0.000476936	0.00158439	0.000263987	0.000285191	0.001096041	0.0000873	0.000868109	0.000471865	0.000437688	0.000157981	0.000214858
OTU_128	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cladorrhinum	sp.	0.000217912	0.0000731	0.013999423	0.047960699	0.000149996	0.000132988	0.0000883	0.0000874	0.016865096	0.0000679	0.0000697	0.000198751	0.000100949	0.000127529	0.000093	0.000116017	0.0000432	0.0000474	0.000131438	0.000076	0.000205248	0.0000295	0.0000773	0.000547743	0.000147489	0.000139901	0.000155071	0.000264575	0.0000938	0.000101227	0.002257936	0.0000711	0.000134419	0.000135935	0.000139639	0.0000885	0.000051	0.000121894	0.00010371	0.001301599	0.000191671	0.000126482	0.0000771	0.000130767	0.000156489	0.0000573	0.000066	0.000157899	0.0000618	0.00017321	0.000143041	0.000133279	0.000202258	0.000100316	0.000225306	0.00013866	0.0000887	0.0000723	0.0000434	0.000146272	0.0003315	0.000081	0.000166778	0.0000792	0.0000475	0.0000913	0.001280289	0.000186023	0.000165153	0.000117839	0.000947889	0.0000838
OTU_129	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales	Myrothecium	atroviride	0.019303407	0.002163711	0.003878316	0.000679998	0.004692723	0.002827746	0.002974175	0.004149468	0.002445694	0.001560698	0.002299251	0.00503503	0.002241066	0.000467608	0.002673983	0.002939091	0.002611868	0.004001326	0.000722907	0.000365745	0.000982261	0.000767788	0.00242137	0.000762077	0.001354214	0.000979309	0.000516903	0.000674666	0.00161369	0.001883938	0.002722805	0.000710581	0.001344194	0.00215986	0.002327313	0.000287689	0.00175054	0.000934522	0.005081801	0.001336463	0.000984792	0.001011858	0.002350614	0.001117465	0.002173459	0.00047009	0.000505984	0.001008126	0.002131669	0.004907621	0.001509878	0.00128096	0.00145258	0.001194667	0.000796083	0.001063059	0.006459528	0.000915861	0.002803468	0.002033174	0.001716002	0.000566924	0.001639982	0.001372732	0.001204142	0.00278577	0.000181859	0.001968748	0.003114309	0.001405653	0.004581462	0.000387792
OTU_12906	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	sp.	0.003286845	0.003260186	0.002177047	0.000596733	0.002057084	0.000608945	0.000942313	0.002577038	0.001239831	0.003460677	0.00060965	0.001109694	0.000121139	0.000132843	0.001348618	0.000309378	0.000172685	0.0000947	0.001029595	0.000123498	0.000395836	0.0000886	0.0006955	0.000130982	0.000107264	0.000979309	0.000120611	0.000648208	0.000187638	0.00010685	0.0000664	0.0000829	0.000201629	0.00027187	0.000209458	0.0000811	0.000237937	0.000182841	0.0000519	0.000929714	0.000185062	0.000727273	0.000179828	0.000261534	0.000139101	0.000131855	0.000044	0.000255068	0.000370725	0.000577367	0.000985394	0.000355411	0.000478064	0.000273588	0.000165225	0.0004622	0.000133034	0.000180762	0.0000723	0.0000878	0.0003315	0.000116984	0.000194574	0.0000704	0.002146858	0.002146413	0.0000436	0.00055807	0.000188746	0.000210427	0.000135413	0.0000681
